Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
7,2755.75,1,310726,1022514757,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030406,""
7,2755.75,1,310726,1022514757,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030433,""
7,2755.75,1,310726,1022514757,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030434,""
7,2755.75,1,310726,1022514757,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030436,""
7,2755.75,1,310726,1022514757,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030437,""
7,2755.75,1,310726,1022514758,101,WA003,3007S-3025S-3035A-9999A-9999C-9999CS-9999E,WA003,301030448,""
7,2755.75,1,310726,1022514758,101,WA003,3007S-3025S-3035A-9999A-9999C-9999CS-9999E,WA003,301030449,""
7,2755.75,1,310726,1022514758,101,WA003,3007S-3025S-3035A-9999A-9999C-9999CS-9999E,WA003,301030450,""
7,2755.75,1,310726,1022514758,101,WA003,3007S-3025S-3035A-9999A-9999C-9999CS-9999E,WA003,301030451,""
7,2755.75,1,310726,1022514758,101,WA003,3007S-3025S-3035A-9999A-9999C-9999CS-9999E,WA003,301030464,""
7,2755.75,1,310726,1022514758,101,WA003,3007S-3025S-3035A-9999A-9999C-9999CS-9999E,WA003,301030465,""
7,2755.75,1,310726,1022514758,101,WA003,3007S-3025S-3035A-9999A-9999C-9999CS-9999E,WA003,301030494,""
7,2755.75,1,310726,1022514758,101,WA003,3007S-3025S-3035A-9999A-9999C-9999CS-9999E,WA003,301030495,""
7,2755.75,1,310726,1022514759,101,WA003,3025S-9999A-9999C-9999CS-9999E,WA003,301030511,""
7,2755.75,1,310726,1022514759,101,WA003,3025S-9999A-9999C-9999CS-9999E,WA003,301030512,""
7,2755.75,1,310726,1022514759,101,WA003,3025S-9999A-9999C-9999CS-9999E,WA003,301030513,""
7,2755.75,1,310726,1022514759,101,WA003,3025S-9999A-9999C-9999CS-9999E,WA003,301030514,""
7,2755.75,1,310726,1022514759,101,WA003,3025S-9999A-9999C-9999CS-9999E,WA003,301030538,""
7,2755.75,1,310726,1022514759,101,WA003,3025S-9999A-9999C-9999CS-9999E,WA003,301030539,""
7,2755.75,1,310726,1022514759,101,WA003,3025S-9999A-9999C-9999CS-9999E,WA003,301030540,""
7,2755.75,1,310726,1022514759,101,WA003,3025S-9999A-9999C-9999CS-9999E,WA003,301030541,""
7,2755.75,1,310726,1022514760,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030767,""
7,2755.75,1,310726,1022514760,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030768,""
7,2755.75,1,310726,1022514760,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030769,""
7,2755.75,1,310726,1022514760,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030770,""
7,2755.75,1,310726,1022514760,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030771,""
7,2755.75,1,310726,1022514760,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030772,""
7,2755.75,1,310726,1022514760,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030773,""
7,2755.75,1,310726,1022514760,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030774,""
7,2755.75,1,310726,1022514761,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030824,""
7,2755.75,1,310726,1022514761,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030825,""
7,2755.75,1,310726,1022514761,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030826,""
7,2755.75,1,310726,1022514761,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030854,""
7,2755.75,1,310726,1022514761,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030855,""
7,2755.75,1,310726,1022514761,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030856,""
7,2755.75,1,310726,1022514761,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030886,""
7,2755.75,1,310726,1022514761,101,WA003,9999A-9999C-9999CS-9999E,WA003,301030887,""
7,2755.75,1,310726,1022514762,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030888,""
7,2755.75,1,310726,1022514762,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030889,""
7,2755.75,1,310726,1022514762,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030890,""
7,2755.75,1,310726,1022514762,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030915,""
7,2755.75,1,310726,1022514762,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030916,""
7,2755.75,1,310726,1022514762,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030917,""
7,2755.75,1,310726,1022514762,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030950,""
7,2755.75,1,310726,1022514762,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030951,""
7,2755.75,1,310726,1022514763,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301030952,""
7,2755.75,1,310726,1022514763,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301030953,""
7,2755.75,1,310726,1022514763,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301031002,""
7,2535.29,1,310726,1022514763,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301031004,""
8,992.07,0,310002,1002514601,102,WA001,9999A,WA001,301028077,""
8,2755.75,1,310002,1002514601,102,WA001,9999A,WA001,301028078,""
8,2755.75,1,310002,1002514601,102,WA001,9999A,WA001,301028079,""
8,2755.75,1,310002,1002514601,102,WA001,9999A,WA001,301028080,""
8,2755.75,1,310002,1002514601,102,WA001,9999A,WA001,301028153,""
8,2755.75,1,310002,1002514601,102,WA001,9999A,WA001,301028158,""
8,2755.75,1,310002,1002514601,102,WA001,9999A,WA001,301028162,""
8,2755.75,1,310002,1002514601,102,WA001,9999A,WA001,301028163,""
8,2755.75,1,310002,1002514602,102,WA001,9999A,WA001,301028225,""
8,2755.75,1,310002,1002514602,102,WA001,9999A,WA001,301028244,""
8,2755.75,1,310002,1002514602,102,WA001,9999A,WA001,301028246,""
8,2755.75,1,310002,1002514602,102,WA001,9999A,WA001,301028251,""
8,2755.75,1,310002,1002514602,102,WA001,9999A,WA001,301028257,""
8,2755.75,1,310002,1002514602,102,WA001,9999A,WA001,301028259,""
8,2755.75,1,310002,1002514602,102,WA001,9999A,WA001,301028260,""
8,2755.75,1,310002,1002514602,102,WA001,9999A,WA001,301028271,""
8,2755.75,1,310002,1002514603,102,WA001,9999A,WA001,301028313,""
8,2755.75,1,310002,1002514603,102,WA001,9999A,WA001,301028314,""
8,2755.75,1,310002,1002514603,102,WA001,9999A,WA001,301028315,""
8,2755.75,1,310002,1002514603,102,WA001,9999A,WA001,301028316,""
8,2755.75,1,310002,1002514603,102,WA001,9999A,WA001,301028317,""
8,2755.75,1,310002,1002514603,102,WA001,9999A,WA001,301028319,""
8,2755.75,1,310002,1002514603,102,WA001,9999A,WA001,301028320,""
8,2755.75,1,310002,1002514603,102,WA001,9999A,WA001,301028321,""
8,2755.75,1,310002,1002514604,102,WA001,9999A,WA001,301028376,""
8,2755.75,1,310002,1002514604,102,WA001,9999A,WA001,301028377,""
8,2755.75,1,310002,1002514604,102,WA001,9999A,WA001,301028378,""
8,2755.75,1,310002,1002514604,102,WA001,9999A,WA001,301028379,""
8,2755.75,1,310015,1052514601,101,ID002,3117A-3123A-9999A-9999E,ID002,301027044,""
8,2755.75,1,310015,1052514601,101,ID002,3117A-3123A-9999A-9999E,ID002,301027045,""
8,2755.75,1,310015,1052514601,101,ID002,3117A-3123A-9999A-9999E,ID002,301027046,""
8,2755.75,1,310015,1052514601,101,ID002,3117A-3123A-9999A-9999E,ID002,301027048,""
8,2755.75,1,310015,1052514601,101,ID002,3117A-3123A-9999A-9999E,ID002,301027049,""
8,2755.75,1,310015,1052514601,101,ID002,3117A-3123A-9999A-9999E,ID002,301027050,""
8,2755.75,1,310015,1052514601,101,ID002,3117A-3123A-9999A-9999E,ID002,301027051,""
8,2755.75,1,310015,1052514601,101,ID002,3117A-3123A-9999A-9999E,ID002,301027052,""
8,2755.75,1,310015,1052514602,101,ID002,3117A-3123A-9999A-9999E,ID002,301027123,""
8,2755.75,1,310015,1052514602,101,ID002,3117A-3123A-9999A-9999E,ID002,301027124,""
8,2755.75,1,310015,1052514602,101,ID002,3117A-3123A-9999A-9999E,ID002,301027126,""
8,2755.75,1,310015,1052514602,101,ID002,3117A-3123A-9999A-9999E,ID002,301027129,""
8,2755.75,1,310015,1052514602,101,ID002,3117A-3123A-9999A-9999E,ID002,301027131,""
8,2755.75,1,310015,1052514602,101,ID002,3117A-3123A-9999A-9999E,ID002,301027134,""
8,2755.75,1,310015,1052514602,101,ID002,3117A-3123A-9999A-9999E,ID002,301027135,""
8,2755.75,1,310015,1052514602,101,ID002,3117A-3123A-9999A-9999E,ID002,301027136,""
8,2755.75,1,310015,1052514603,101,ID002,3117A-3123A-9999A-9999E,ID002,301027219,""
8,2755.75,1,310015,1052514603,101,ID002,3117A-3123A-9999A-9999E,ID002,301027222,""
8,2755.75,1,310015,1052514603,101,ID002,3117A-3123A-9999A-9999E,ID002,301027223,""
8,2755.75,1,310015,1052514603,101,ID002,3117A-3123A-9999A-9999E,ID002,301027225,""
8,2755.75,1,310015,1052514603,101,ID002,3117A-3123A-9999A-9999E,ID002,301027245,""
8,2755.75,1,310015,1052514603,101,ID002,3117A-3123A-9999A-9999E,ID002,301027246,""
8,2755.75,1,310015,1052514603,101,ID002,3117A-3123A-9999A-9999E,ID002,301027247,""
8,2755.75,1,310015,1052514603,101,ID002,3117A-3123A-9999A-9999E,ID002,301027249,""
8,2755.75,1,310015,1052514604,101,ID002,3117A-3123A-9999A-9999E,ID002,301027273,""
