,Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
205,ID002,WA001,,Order,102,120,310015,232807-1-3-194,55115,20.0,2025-07-31 00:00:00,MEX002,9999A
206,ID002,WA001,,Order,102,120,310015,232807-1-3-195,55115,20.0,2025-07-31 00:00:00,MEX002,9999A
207,ID002,WA001,,Order,102,120,310015,232807-1-3-196,55115,20.0,2025-07-31 00:00:00,MEX002,9999A
208,WA001,,,Order,102,120,310002,232811-1-2-102,55115,20.0,2025-06-28 00:00:00,TX001,9999A
209,ID002,,,Order,101,120,310086,232869-1-5-121,41800,19.0,2025-06-13 00:00:00,ID010,3140A
210,ID002,,,Order,101,120,310086,232869-1-5-122,41800,19.0,2025-06-12 00:00:00,ID010,3140A
211,ID002,,,Order,101,120,310086,232869-1-5-123,41800,19.0,2025-06-16 00:00:00,ID010,3140A
212,ID002,,,Order,101,120,310086,232869-1-5-124,41800,19.0,2025-06-17 00:00:00,ID010,3140A
213,ID002,,,Order,101,120,310086,232869-1-5-125,41800,19.0,2025-06-17 00:00:00,ID010,3140A
214,ID002,,,Order,101,120,310086,232869-1-5-126,41800,19.0,2025-06-23 00:00:00,ID010,3140A
215,ID002,,,Order,101,120,310086,232869-1-6-127,41800,19.0,2025-07-19 00:00:00,ID010,3140A
216,ID002,,,Order,101,120,310086,232869-1-6-128,41800,19.0,2025-06-27 00:00:00,ID010,3140A
217,ID002,,,Order,101,120,310086,232869-1-6-129,41800,19.0,2025-06-27 00:00:00,ID010,3140A
218,ID002,,,Order,101,120,310086,232869-1-6-130,41800,19.0,2025-07-28 00:00:00,ID002,3140A
219,WA002,,,Order,102,120,310724,232893-1-1-101,41336,14.999909280595118,2025-06-01 00:00:00,WA002,9999A
220,WA002,WA002,,Order,101,120,310726,232948-1-2-103,55115,20.0,2025-06-09 00:00:00,WA007,9999E
221,WA002,WA003,,Order,101,120,310726,232948-1-2-104,55115,20.0,2025-06-06 00:00:00,WA007,9999E
222,WA003,WA002,,Order,101,120,310726,232948-1-2-105,55115,20.0,2025-07-23 00:00:00,WA007,9999E
223,WA001,,,Order,102,120,310015,233018-1-1-101,2756,1.0000907194048807,2025-07-07 00:00:00,WA001,9999E
224,WA001,,,Order,102,120,310018,233018-1-1-101,38580,13.99981856119024,2025-07-07 00:00:00,WA001,9999A
225,WA003,,,Order,102,120,310724,233030-1-1-102,55115,20.0,2025-07-15 00:00:00,WA007,9999E
226,WA003,,,Order,102,120,310724,233030-1-1-103,55115,20.0,2025-07-16 00:00:00,WA007,9999E
227,WA003,,,Order,101,120,310726,233066-1-1-101,55115,20.0,2025-06-17 00:00:00,WA007,9999E
