Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
ID002,,,Order,101,,310724,233509-1-1-113,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-103,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-104,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-105,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-106,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-107,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-102,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-101,,14.99990928,6/8/2025,ID010,9999E
WA002,WA002,,Order,101,,310726,232948-1-2-103,,20,6/9/2025,WA007,9999E
WA003,WA002,,Order,101,,310724,233472-1-1-103,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-104,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-108,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-109,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-102,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-111,,12,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-110,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-107,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-105,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-106,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,101,,310724,233472-1-1-101,,18.00018144,6/9/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-111,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-115,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-116,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-117,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-118,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-119,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-120,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-113,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-114,,20,6/10/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233382-1-1-112,,20,6/10/2025,WA007,9999A
WA003,,,Order,102,,310726,233263-1-1-101,,80,6/11/2025,WA007,9999E
WA002,,,Order,101,,310726,232663-1-1-102,,20,6/11/2025,WA007,3035A
WA003,,,Order,101,,310726,233258-1-1-104,,100,6/11/2025,WA007,3025S
WA003,WA002,,Order,101,,310726,233204-1-1-101,,40,6/11/2025,WA007,9999E
ID002,,,Order,102,,310015,232701-1-6-122,,14.99990928,6/11/2025,ID010,9999A
WA002,,,Order,101,,310726,232663-1-1-101,,120,6/12/2025,WA007,3035A
WA003,,,Order,101,,310726,232128-1-7-128,,100,6/12/2025,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232128-1-7-126,,100,6/12/2025,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232128-1-7-127,,100,6/12/2025,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232130-1-8-120,,40,6/12/2025,WA007,3007DRYGUM
WA002,,,Order,101,,310726,233223-1-1-103,,60,6/12/2025,WA007,9999E
WA002,WA002,,Order,101,,310726,233205-1-1-102,,20,6/12/2025,WA007,9999E
ID002,,,Order,101,,310086,232869-1-5-122,,19,6/12/2025,ID010,3140A
ID002,,,Order,101,,310086,232869-1-5-121,,19,6/13/2025,ID010,3140A
WA002,,,Order,102,,310724,232935-1-3-103,,40,6/14/2025,WA007,9999E
ID002,WA001,,Order,101,,310015,233528-1-1-101,,16,6/15/2025,TX001,3123A
ID002,WA001,,Order,101,,310015,233528-1-1-102,,16,6/15/2025,TX001,3123A
WA002,WA003,,Order,101,,310726,232948-1-2-104,,20,6/16/2025,WA007,9999E
WA003,WA002,,Order,102,,310726,232381-1-3-103,,40,6/16/2025,WA007,9999A
WA003,WA002,,Order,102,,310726,233118-1-2-102,,60,6/16/2025,WA007,9999A
ID002,,,Order,101,,310086,232869-1-5-123,,19,6/16/2025,ID010,3140A
WA003,,,Order,101,,310726,233258-1-1-101,,80,6/16/2025,WA007,3025S
WA003,,,Order,101,,310726,233066-1-1-101,,20,6/17/2025,WA007,9999E
ID002,,,Order,101,,310086,232869-1-5-124,,19,6/17/2025,ID010,3140A
ID002,,,Order,101,,310086,232869-1-5-125,,19,6/17/2025,ID010,3140A
WA003,,,Order,101,,310726,233258-1-1-103,,80,6/17/2025,WA007,3025S
WA002,WA003,,Order,102,,310726,233433-1-1-101,,40,6/18/2025,WA007,9999A
WA002,,,Order,102,,310724,233232-1-1-102,,200,6/18/2025,WA007,9999E
WA002,,,Order,102,,310724,233232-1-1-104,,200,6/18/2025,WA007,9999E
WA002,,,Order,102,,310724,233232-1-1-105,,80,6/18/2025,WA007,9999E
WA003,,,Order,102,,310726,233236-1-1-103,,200,6/18/2025,WA007,9999E
WA003,,,Order,102,,310726,233263-1-1-102,,80,6/18/2025,WA007,9999E
WA002,,,Order,101,,310726,232664-1-1-101,,160,6/21/2025,WA007,3035A
ID002,,,Order,101,,310086,232869-1-5-126,,19,6/23/2025,ID010,3140A
WA003,,,Order,102,,310726,233241-1-1-102,,120,6/25/2025,WA007,9999E
WA003,,,Order,101,,310726,232128-1-7-131,,80,6/25/2025,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232128-1-7-129,,100,6/25/2025,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232128-1-7-130,,100,6/25/2025,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232130-1-8-121,,40,6/25/2025,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232130-1-8-122,,20,6/25/2025,WA007,3007DRYGUM
WA002,,,Order,101,,310724,233229-1-1-101,,20,6/26/2025,WA007,3041A
ID002,,,Order,101,,310086,233511-1-1-105,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233511-1-1-101,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233511-1-1-102,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233511-1-1-103,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233511-1-1-104,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233538-1-1-103,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233538-1-1-104,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233538-1-1-105,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233538-1-1-101,,19,6/27/2025,ID010,3139A
ID002,,,Order,101,,310086,233538-1-1-102,,19,6/27/2025,ID010,3139A
ID002,WA001,,Order,102,,310015,232630-1-2-110,,21.00009072,6/28/2025,TX001,9999E
ID002,WA001,,Order,102,,310015,232630-1-3-111,,21.00009072,6/28/2025,TX001,9999E
ID002,,,Order,102,,310015,233089-1-3-111,,21.00009072,6/28/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,232630-1-2-109,,20.99972784,6/28/2025,TX001,9999E
ID002,,,Order,102,,310015,233089-1-3-112,,21.00009072,6/28/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,232630-1-2-108,,20.99972784,6/28/2025,TX001,9999E
