W_INSERT_DT,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,ALLOCATED_ORDER_NUM,Allocation Date
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-9999A,31,233374-1-1-110,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-9999A,65,233376-1-1-101,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-9999A-9999A,30,"",
2025-05-01 00:00:00,TX001,310015,ID002,101,9999A-9999E-9999A-9999E,30,"",
2025-05-01 00:00:00,TX001,310015,ID002,102,3117A-9999A-9999A,31,233374-1-1-110,
2025-05-01 00:00:00,TX001,310015,ID002,102,9999A,58,232630-1-1-103,
2025-05-01 00:00:00,TX001,310086,ID002,101,3133A-3138A-3139A-9999A,99,"",
2025-05-01 00:00:00,TX001,310086,ID002,101,3138A-3139A-9999A,99,"",
2025-05-01 00:00:00,TX001,310086,ID002,101,3138A-3139A-9999A,105,"",
2025-05-01 00:00:00,TX001,310086,ID002,101,3138A-3139A-9999A,105,233091-1-2-103,
2025-05-01 00:00:00,TX001,310086,ID002,101,3139A-9999A,104,"",
2025-05-01 00:00:00,WA001,310002,WA001,101,3405A-9999A-9999E,42,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,10,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,11,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,13,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,14,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,15,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,47,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,51,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,53,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,63,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,65,"",
2025-05-01 00:00:00,WA001,310002,WA001,102,9999A,93,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,3117A-3123A-9999A-9999E,12,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,3117A-3123A-9999A-9999E,18,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,3117A-3123A-9999A-9999E,32,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,3117A-3123A-9999A-9999E,54,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,10,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,11,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,12,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,13,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,14,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,15,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,16,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,17,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,18,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,19,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,20,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,21,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,22,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,27,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,28,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,29,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,30,"",
2025-05-01 00:00:00,WA001,310015,WA001,101,9999A-9999E,31,"",
2025-05-01 00:00:00,WA001,310015,WA001,102,9999A,15,"",
2025-05-01 00:00:00,WA001,310018,WA001,102,9999A,49,"",
2025-05-01 00:00:00,WA001,310018,WA001,102,9999A,108,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,10,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,13,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,16,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,17,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,18,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,67,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,68,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,77,"",
2025-05-01 00:00:00,WA001,310774,WA001,102,9999A,78,"",
