Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026322,""
7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026323,""
7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026324,""
7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026325,""
7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026402,""
7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026404,""
7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026405,""
7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026406,""
7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026431,""
7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026452,""
7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026453,""
7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026473,""
7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026482,""
7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026547,""
7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026549,""
7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026551,""
7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026552,""
7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026554,""
7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026571,""
7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026573,""
7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026592,""
7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026593,""
7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026595,""
7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026596,""
7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026632,""
7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026638,""
7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026639,""
7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026641,""
7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026642,""
7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026644,""
7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026695,""
7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026696,""
7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026711,""
7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026712,""
7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026713,""
7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026714,""
7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026715,""
7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026716,""
7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026717,""
7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026718,""
7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026906,""
7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026908,""
7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026917,""
7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026921,""
7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026944,""
7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026976,""
7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026977,""
7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026978,""
8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024424,""
8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024425,""
8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024426,""
8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024427,""
8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024428,""
