Period,Site,Product,BOM,"Assignment Policy","Policy Parameter","Unit BOM Cost",Status,Notes
REAL_PERIODS,WA007,310726_WA002_101_9999A_70D,BOM_310726_WA002_101_9999A_70D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_71D,BOM_310726_WA002_101_9999A_71D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_72D,BOM_310726_WA002_101_9999A_72D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_73D,BOM_310726_WA002_101_9999A_73D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_74D,BOM_310726_WA002_101_9999A_74D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_75D,BOM_310726_WA002_101_9999A_75D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_76D,BOM_310726_WA002_101_9999A_76D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_77D,BOM_310726_WA002_101_9999A_77D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_78D,BOM_310726_WA002_101_9999A_78D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_79D,BOM_310726_WA002_101_9999A_79D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_80D,BOM_310726_WA002_101_9999A_80D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_81D,BOM_310726_WA002_101_9999A_81D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_82D,BOM_310726_WA002_101_9999A_82D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_83D,BOM_310726_WA002_101_9999A_83D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_84D,BOM_310726_WA002_101_9999A_84D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_85D,BOM_310726_WA002_101_9999A_85D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_86D,BOM_310726_WA002_101_9999A_86D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_87D,BOM_310726_WA002_101_9999A_87D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_88D,BOM_310726_WA002_101_9999A_88D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_89D,BOM_310726_WA002_101_9999A_89D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_90D,BOM_310726_WA002_101_9999A_90D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_91D,BOM_310726_WA002_101_9999A_91D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_92D,BOM_310726_WA002_101_9999A_92D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_93D,BOM_310726_WA002_101_9999A_93D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_94D,BOM_310726_WA002_101_9999A_94D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_95D,BOM_310726_WA002_101_9999A_95D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_96D,BOM_310726_WA002_101_9999A_96D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_97D,BOM_310726_WA002_101_9999A_97D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_98D,BOM_310726_WA002_101_9999A_98D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_99D,BOM_310726_WA002_101_9999A_99D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_100D,BOM_310726_WA002_102_9999A_100D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_101D,BOM_310726_WA002_102_9999A_101D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_102D,BOM_310726_WA002_102_9999A_102D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_103D,BOM_310726_WA002_102_9999A_103D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_104D,BOM_310726_WA002_102_9999A_104D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_105D,BOM_310726_WA002_102_9999A_105D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_106D,BOM_310726_WA002_102_9999A_106D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_107D,BOM_310726_WA002_102_9999A_107D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_108D,BOM_310726_WA002_102_9999A_108D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_109D,BOM_310726_WA002_102_9999A_109D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_110D,BOM_310726_WA002_102_9999A_110D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_111D,BOM_310726_WA002_102_9999A_111D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_112D,BOM_310726_WA002_102_9999A_112D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_113D,BOM_310726_WA002_102_9999A_113D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_114D,BOM_310726_WA002_102_9999A_114D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_115D,BOM_310726_WA002_102_9999A_115D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_116D,BOM_310726_WA002_102_9999A_116D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_117D,BOM_310726_WA002_102_9999A_117D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_118D,BOM_310726_WA002_102_9999A_118D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_119D,BOM_310726_WA002_102_9999A_119D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_120D,BOM_310726_WA002_102_9999A_120D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_68D,BOM_310726_WA002_102_9999A_68D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_69D,BOM_310726_WA002_102_9999A_69D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_70D,BOM_310726_WA002_102_9999A_70D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_71D,BOM_310726_WA002_102_9999A_71D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_72D,BOM_310726_WA002_102_9999A_72D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_73D,BOM_310726_WA002_102_9999A_73D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_74D,BOM_310726_WA002_102_9999A_74D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_75D,BOM_310726_WA002_102_9999A_75D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_76D,BOM_310726_WA002_102_9999A_76D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_77D,BOM_310726_WA002_102_9999A_77D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_78D,BOM_310726_WA002_102_9999A_78D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_79D,BOM_310726_WA002_102_9999A_79D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_80D,BOM_310726_WA002_102_9999A_80D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_81D,BOM_310726_WA002_102_9999A_81D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_82D,BOM_310726_WA002_102_9999A_82D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_83D,BOM_310726_WA002_102_9999A_83D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_84D,BOM_310726_WA002_102_9999A_84D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_85D,BOM_310726_WA002_102_9999A_85D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_86D,BOM_310726_WA002_102_9999A_86D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_87D,BOM_310726_WA002_102_9999A_87D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_88D,BOM_310726_WA002_102_9999A_88D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_89D,BOM_310726_WA002_102_9999A_89D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_90D,BOM_310726_WA002_102_9999A_90D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_91D,BOM_310726_WA002_102_9999A_91D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_92D,BOM_310726_WA002_102_9999A_92D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_93D,BOM_310726_WA002_102_9999A_93D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_94D,BOM_310726_WA002_102_9999A_94D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_95D,BOM_310726_WA002_102_9999A_95D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_96D,BOM_310726_WA002_102_9999A_96D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_97D,BOM_310726_WA002_102_9999A_97D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_98D,BOM_310726_WA002_102_9999A_98D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_102_9999A_99D,BOM_310726_WA002_102_9999A_99D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_68D,BOM_310726_WA002_101_9999A-9999E_68D,"","","",include,""
