Site,Product,"Production Policy","Unit Production Cost","Fixed Order Cost","Fixed Order Time",CO2,"Minimum Order Quantity","Production Frequency",Status,Notes
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_85D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_86D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_87D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_88D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_89D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_90D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_91D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_92D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_93D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_94D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_95D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_96D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_97D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_98D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_99D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_9D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3025S-3035A-9999A-9999E_100D,"","","",1.1,"","","",include,""
