Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
69,2755.75,1,310724,1012508405,101,WA002,3040A-3045A-9999A-9999C,WA007,300943285,
69,2755.75,1,310724,1012508405,101,WA002,3040A-3045A-9999A-9999C,WA007,300943286,
69,2755.75,1,310724,1012508405,101,WA002,3040A-3045A-9999A-9999C,WA007,300943292,
69,2755.75,1,310724,1012508405,101,WA002,3040A-3045A-9999A-9999C,WA007,300943300,
69,2755.75,1,310724,1012508405,101,WA002,3040A-3045A-9999A-9999C,WA007,300943305,
69,2755.75,1,310724,1012508405,101,WA002,3040A-3045A-9999A-9999C,WA007,300943306,
69,2755.75,1,310724,1012508405,101,WA002,3040A-3045A-9999A-9999C,WA007,300943326,
69,2755.75,1,310724,1012508405,101,WA002,3040A-3045A-9999A-9999C,WA007,300943327,
69,2755.75,1,310724,1012508406,101,WA002,3040A-3045A-9999A,WA007,300943328,
69,2755.75,1,310724,1012508406,101,WA002,3040A-3045A-9999A,WA007,300943329,
69,2755.75,1,310724,1012508406,101,WA002,3040A-3045A-9999A,WA007,300943330,
69,2755.75,1,310724,1012508406,101,WA002,3040A-3045A-9999A,WA007,300943331,
69,2755.75,1,310724,1012508406,101,WA002,3040A-3045A-9999A,WA007,300943350,
69,2755.75,1,310724,1012508406,101,WA002,3040A-3045A-9999A,WA007,300943352,
69,2755.75,1,310724,1012508406,101,WA002,3040A-3045A-9999A,WA007,300943376,
69,2755.75,1,310724,1012508406,101,WA002,3040A-3045A-9999A,WA007,300943377,
69,2755.75,1,310724,1012508417,101,WA002,3040A-3045A-3053A-9999A,WA007,300943982,
69,2755.75,1,310724,1012508417,101,WA002,3040A-3045A-3053A-9999A,WA007,300943983,
69,2755.75,1,310724,1012508417,101,WA002,3040A-3045A-3053A-9999A,WA007,300943984,
69,2755.75,1,310724,1012508417,101,WA002,3040A-3045A-3053A-9999A,WA007,300944031,
69,2755.75,1,310724,1012508417,101,WA002,3040A-3045A-3053A-9999A,WA007,300944032,
69,2755.75,1,310724,1012508417,101,WA002,3040A-3045A-3053A-9999A,WA007,300944033,
