AGE,TOTAL_WEIGHTS,TOTAL_PALLETS,ITEM_NUMBER,LOT_NO,GRADE,PRODUCTION_PLANT,SPEC,WHS_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER,CLEANED_SPEC,SPEC_VALUE
6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028884,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028885,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028887,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028895,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028896,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028916,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028917,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028918,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028919,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028959,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028960,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028962,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028963,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028966,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029016,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029017,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
