,LOT_NO,SUBLOT_NO,join_col
263,1002510401,300971546,WA001310015WA0011019999A-9999E23
264,1002510401,300971547,WA001310015WA0011019999A-9999E23
265,1002510401,300971548,WA001310015WA0011019999A-9999E23
266,1002510401,300971558,WA001310015WA0011019999A-9999E23
267,1002510401,300971559,WA001310015WA0011019999A-9999E23
268,1002510401,300971560,WA001310015WA0011019999A-9999E23
269,1002510401,300971573,WA001310015WA0011019999A-9999E23
270,1002510401,300971582,WA001310015WA0011019999A-9999E23
271,1002510402,300971810,WA001310015WA0011019999A-9999E23
272,1002510402,300971812,WA001310015WA0011019999A-9999E23
273,1002510402,300971813,WA001310015WA0011019999A-9999E23
274,1002510402,300971815,WA001310015WA0011019999A-9999E23
275,1002510405,300972014,WA001310015WA0011019999A-9999E23
276,1002510405,300972015,WA001310015WA0011019999A-9999E23
277,1002510405,300972016,WA001310015WA0011019999A-9999E23
278,1002510405,300972064,WA001310015WA0011019999A-9999E23
279,1002510405,300972065,WA001310015WA0011019999A-9999E23
280,1002510405,300972066,WA001310015WA0011019999A-9999E23
281,1002510405,300972067,WA001310015WA0011019999A-9999E23
282,1002510501,300972361,WA001310015WA0011019999A-9999E22
283,1002510501,300972362,WA001310015WA0011019999A-9999E22
284,1002510501,300972363,WA001310015WA0011019999A-9999E22
285,1002510501,300972364,WA001310015WA0011019999A-9999E22
286,1002510501,300972369,WA001310015WA0011019999A-9999E22
287,1002510503,300972519,WA001310015WA0011019999A-9999E22
288,1002510503,300972520,WA001310015WA0011019999A-9999E22
289,1002510503,300972522,WA001310015WA0011019999A-9999E22
290,1002510503,300972528,WA001310015WA0011019999A-9999E22
291,1002510503,300972535,WA001310015WA0011019999A-9999E22
292,1002510503,300972541,WA001310015WA0011019999A-9999E22
293,1002510701,300974697,WA001310015WA0011019999A-9999E20
294,1002510701,300974701,WA001310015WA0011019999A-9999E20
295,1002510701,300974702,WA001310015WA0011019999A-9999E20
296,1002510701,300974751,WA001310015WA0011019999A-9999E20
297,1002510701,300974752,WA001310015WA0011019999A-9999E20
298,1002510701,300974763,WA001310015WA0011019999A-9999E20
299,1002510701,300974764,WA001310015WA0011019999A-9999E20
300,1002510701,300974765,WA001310015WA0011019999A-9999E20
301,1002510702,300974766,WA001310015WA0011019999A-9999E20
302,1002510702,300974821,WA001310015WA0011019999A-9999E20
303,1002510702,300974822,WA001310015WA0011019999A-9999E20
304,1002510705,300975381,WA001310015WA0011019999A-9999E20
305,1002510705,300975382,WA001310015WA0011019999A-9999E20
306,1002510705,300975401,WA001310015WA0011019999A-9999E20
307,1002510706,300975402,WA001310015WA0011019999A-9999E20
308,1002510706,300975427,WA001310015WA0011019999A-9999E20
309,1002510706,300975428,WA001310015WA0011019999A-9999E20
310,1002510706,300975433,WA001310015WA0011019999A-9999E20
311,1002510706,300975443,WA001310015WA0011019999A-9999E20
312,1002510706,300975448,WA001310015WA0011019999A-9999E20
313,1002510706,300975449,WA001310015WA0011019999A-9999E20
314,1002510706,300975450,WA001310015WA0011019999A-9999E20
315,1002510707,300975507,WA001310015WA0011019999A-9999E20
316,1002510707,300975508,WA001310015WA0011019999A-9999E20
317,1002510707,300975509,WA001310015WA0011019999A-9999E20
318,1002510707,300975510,WA001310015WA0011019999A-9999E20
319,1002510707,300975568,WA001310015WA0011019999A-9999E20
320,1002510707,300975569,WA001310015WA0011019999A-9999E20
321,1002510707,300975570,WA001310015WA0011019999A-9999E20
322,1002510707,300975571,WA001310015WA0011019999A-9999E20
323,1002510708,300975671,WA001310015WA0011019999A-9999E20
324,1002510708,300975672,WA001310015WA0011019999A-9999E20
325,1002510801,300975927,WA001310015WA0011019999A-9999E19
326,1002510801,300975998,WA001310015WA0011019999A-9999E19
327,1002510801,300975999,WA001310015WA0011019999A-9999E19
328,1002510801,300976015,WA001310015WA0011019999A-9999E19
329,1002510901,300977455,WA001310015WA0011019999A-9999E18
330,1002510901,300977456,WA001310015WA0011019999A-9999E18
331,1002510901,300977457,WA001310015WA0011019999A-9999E18
332,1002510901,300977458,WA001310015WA0011019999A-9999E18
333,1002510901,300977465,WA001310015WA0011019999A-9999E18
334,1002510901,300977466,WA001310015WA0011019999A-9999E18
335,1002510901,300977468,WA001310015WA0011019999A-9999E18
336,1002510901,300977469,WA001310015WA0011019999A-9999E18
337,1002510902,300977531,WA001310015WA0011019999A-9999E18
338,1002510902,300977532,WA001310015WA0011019999A-9999E18
339,1002510902,300977533,WA001310015WA0011019999A-9999E18
340,1002510902,300977628,WA001310015WA0011019999A-9999E18
341,1002510902,300977638,WA001310015WA0011019999A-9999E18
342,1002510902,300977656,WA001310015WA0011019999A-9999E18
343,1002510902,300977657,WA001310015WA0011019999A-9999E18
344,1002510902,300977658,WA001310015WA0011019999A-9999E18
345,1002510903,300977659,WA001310015WA0011019999A-9999E18
346,1002510903,300977660,WA001310015WA0011019999A-9999E18
347,1002510903,300977770,WA001310015WA0011019999A-9999E18
348,1002510903,300977771,WA001310015WA0011019999A-9999E18
349,1002510903,300977893,WA001310015WA0011019999A-9999E18
350,1002510903,300977894,WA001310015WA0011019999A-9999E18
351,1002510903,300977895,WA001310015WA0011019999A-9999E18
352,1002510903,300977896,WA001310015WA0011019999A-9999E18
353,1002510904,300977925,WA001310015WA0011019999A-9999E18
354,1002510904,300977926,WA001310015WA0011019999A-9999E18
355,1002510904,300977927,WA001310015WA0011019999A-9999E18
356,1002510904,300977966,WA001310015WA0011019999A-9999E18
357,1002510904,300977967,WA001310015WA0011019999A-9999E18
358,1002510904,300977985,WA001310015WA0011019999A-9999E18
359,1002510904,300977986,WA001310015WA0011019999A-9999E18
360,1002510904,300977987,WA001310015WA0011019999A-9999E18
361,1002510905,300978096,WA001310015WA0011019999A-9999E18
362,1002510905,300978097,WA001310015WA0011019999A-9999E18
363,1002510905,300978098,WA001310015WA0011019999A-9999E18
364,1002510905,300978106,WA001310015WA0011019999A-9999E18
365,1002510905,300978114,WA001310015WA0011019999A-9999E18
366,1002510905,300978136,WA001310015WA0011019999A-9999E18
367,1002510905,300978152,WA001310015WA0011019999A-9999E18
368,1002510905,300978154,WA001310015WA0011019999A-9999E18
369,1002510906,300978164,WA001310015WA0011019999A-9999E18
370,1002510906,300978165,WA001310015WA0011019999A-9999E18
371,1002510906,300978167,WA001310015WA0011019999A-9999E18
372,1002510906,300978189,WA001310015WA0011019999A-9999E18
373,1002510906,300978190,WA001310015WA0011019999A-9999E18
374,1002510906,300978191,WA001310015WA0011019999A-9999E18
375,1002510906,300978192,WA001310015WA0011019999A-9999E18
376,1002510906,300978193,WA001310015WA0011019999A-9999E18
377,1002510907,300978237,WA001310015WA0011019999A-9999E18
378,1002510907,300978238,WA001310015WA0011019999A-9999E18
379,1002510907,300978239,WA001310015WA0011019999A-9999E18
380,1002510907,300978240,WA001310015WA0011019999A-9999E18
381,1002510907,300978241,WA001310015WA0011019999A-9999E18
382,1002510907,300978246,WA001310015WA0011019999A-9999E18
383,1002510907,300978255,WA001310015WA0011019999A-9999E18
384,1002510907,300978285,WA001310015WA0011019999A-9999E18
385,1002510908,300978286,WA001310015WA0011013117A-3123A-9999A-9999E18
386,1002510908,300978287,WA001310015WA0011013117A-3123A-9999A-9999E18
387,1002510908,300978288,WA001310015WA0011013117A-3123A-9999A-9999E18
388,1002510908,300978301,WA001310015WA0011013117A-3123A-9999A-9999E18
389,1002510908,300978365,WA001310015WA0011013117A-3123A-9999A-9999E18
390,1002510908,300978366,WA001310015WA0011013117A-3123A-9999A-9999E18
391,1002510908,300978367,WA001310015WA0011013117A-3123A-9999A-9999E18
392,1002511001,300979274,WA001310015WA0011019999A-9999E17
393,1002511001,300979294,WA001310015WA0011019999A-9999E17
394,1002511001,300979295,WA001310015WA0011019999A-9999E17
395,1002511001,300979296,WA001310015WA0011019999A-9999E17
396,1002511001,300979307,WA001310015WA0011019999A-9999E17
397,1002511001,300979315,WA001310015WA0011019999A-9999E17
